"SP","Y","mean_LA"
"Acacia retinodes",1972,-37.56517
"Acacia retinodes",1973,-37.66556
"Acacia retinodes",1978,-37.7106133333333
"Acacia retinodes",1979,-37.66778
"Acacia retinodes",1980,-37.75557
"Acacia retinodes",1981,-37.0143288888889
"Acacia retinodes",1982,-37.688432
"Acacia retinodes",1983,-38.5742588888889
"Acacia retinodes",1984,-37.494445
"Acacia retinodes",1985,-37.1856177777778
"Acacia retinodes",1986,-37.39213
"Acacia retinodes",1987,-37.7494433333333
"Acacia retinodes",1988,-37.4251276923077
"Acacia retinodes",1989,-38.0566076923077
"Acacia retinodes",1990,-38.013752
"Acacia retinodes",1991,-37.1422233333333
"Acacia retinodes",1992,-37.6167857142857
"Acacia retinodes",1993,-37.5148990909091
"Acacia retinodes",1994,-37.5016663636364
"Acacia retinodes",1995,-37.335807
"Acacia retinodes",1996,-37.90086
"Acacia retinodes",1997,-37.2949909677419
"Acacia retinodes",1998,-37.6833703225806
"Acacia retinodes",1999,-38.3708526666667
"Acacia retinodes",2000,-37.539795
"Acacia retinodes",2001,-37.7977385714286
"Acacia retinodes",2002,-37.6010161538462
"Acacia retinodes",2003,-37.5213833333333
"Acacia retinodes",2004,-37.906704
"Acacia retinodes",2005,-36.91508
"Acacia retinodes",2006,-37.6953790909091
"Acacia retinodes",2007,-37.7790061904762
"Acacia retinodes",2008,-37.4789330434783
"Acacia retinodes",2009,-37.846992
"Acacia retinodes",2010,-37.8397484615385
"Acacia retinodes",2011,-37.5134121621622
"Acacia retinodes",2012,-37.6210664285714
"Acacia retinodes",2013,-37.7817
"Acacia retinodes",2014,-37.585685
"Acacia retinodes",2015,-37.787022173913
"Acacia retinodes",2016,-37.7438016666667
"Acacia retinodes",2017,-38.21486
"Acacia retinodes",2018,-37.35083
"Acacia retinodes",2020,-38.19708
"Acacia sophorae",1973,-27.156736
"Acacia sophorae",1977,-38.1404688235294
"Acacia sophorae",1978,-37.79194
"Acacia sophorae",1979,-37.96176
"Acacia sophorae",1980,-38.3391733333333
"Acacia sophorae",1981,-37.9716175
"Acacia sophorae",1982,-36.90249
"Acacia sophorae",1984,-37.93627
"Acacia sophorae",1985,-37.1268525
"Acacia sophorae",1986,-38.1301095384615
"Acacia sophorae",1987,-38.345666
"Acacia sophorae",1988,-38.2499738888889
"Acacia sophorae",1989,-38.4692494
"Acacia sophorae",1990,-38.2799824444444
"Acacia sophorae",1991,-38.04912475
"Acacia sophorae",1992,-38.1656925
"Acacia sophorae",1993,-37.9124257894737
"Acacia sophorae",1994,-38.372648
"Acacia sophorae",1995,-38.4768437878788
"Acacia sophorae",1996,-38.5574074038462
"Acacia sophorae",1997,-38.8805235
"Acacia sophorae",1998,-38.3282714285714
"Acacia sophorae",1999,-38.4507557291667
"Acacia sophorae",2000,-38.4967264285714
"Acacia sophorae",2001,-38.0825535
"Acacia sophorae",2002,-37.9640503424658
"Acacia sophorae",2003,-38.1145910559006
"Acacia sophorae",2004,-38.2068011111111
"Acacia sophorae",2005,-38.2475336111111
"Acacia sophorae",2006,-38.3235541269841
"Acacia sophorae",2007,-38.1954845714286
"Acacia sophorae",2008,-38.2706236585366
"Acacia sophorae",2009,-38.3179446052632
"Acacia sophorae",2010,-38.2702596296296
"Acacia sophorae",2011,-38.2522987804878
"Acacia sophorae",2012,-38.1767067857143
"Acacia sophorae",2013,-38.3641184615385
"Acacia sophorae",2014,-38.3825877777778
"Acacia sophorae",2015,-38.0471538461538
"Acacia sophorae",2016,-38.54412125
"Acacia sophorae",2017,-38.2638201111111
"Acacia sophorae",2018,-38.1909147619048
"Acacia sophorae",2019,-38.4127825
"Acacia sophorae",2020,-38.2859433333333
"Acacia stenophylla",1974,-35.73183
"Acacia stenophylla",1975,-26.4925905
"Acacia stenophylla",1976,-25.956777
"Acacia stenophylla",1977,-31.82567
"Acacia stenophylla",1978,-28.1080268
"Acacia stenophylla",1979,-23.415
"Acacia stenophylla",1980,-23.5600555
"Acacia stenophylla",1981,-28.121182
"Acacia stenophylla",1982,-31.207177
"Acacia stenophylla",1983,-30.8054133333333
"Acacia stenophylla",1984,-28.1796316
"Acacia stenophylla",1985,-33.2687721428571
"Acacia stenophylla",1986,-33.8468537352941
"Acacia stenophylla",1987,-34.4689833333333
"Acacia stenophylla",1989,-26.6207404
"Acacia stenophylla",1990,-34.2691488644068
"Acacia stenophylla",1991,-33.1458106666667
"Acacia stenophylla",1992,-20.7662623333333
"Acacia stenophylla",1993,-25.3290243333333
"Acacia stenophylla",1994,-27.113424
"Acacia stenophylla",1995,-31.518428
