"species","stateProvince","decimalLatitude","decimalLongitude"
"Hovea longipes","Queensland",-12.756827,143.259449
"Cheilanthes sieberi","Queensland",-27.840068,153.192732
"Eleocharis cylindrostachys","Queensland",-25.691667,150.908333
"Synima cordierorum","Queensland",-16.390137,145.209439
"Lysiphyllum hookeri","Queensland",-20.090116,146.926111
"Linospadix microcaryus","Queensland",-17.606797,145.776107
"Podolepis arachnoidea","Queensland",-19.723467,144.476136
"Erythrina vespertilio","Queensland",-20.423469,144.426142
"Catalepidia heyana","Queensland",-16.458333,145.208333
"Bruguiera gymnorhiza","Queensland",-27.406736,153.142728
"Plectranthus parviflorus","Queensland",-24.990082,152.209388
"Diplocyclos palmatus","Queensland",-20.090116,146.926111
"Hypserpa laurina","Queensland",-19.006789,146.176111
"Acacia peuce","Queensland",-23.390158,139.592873
"Xanthophyllum octandrum","Queensland",-17.59013,145.842774
"Acacia citriodora","Queensland",-19.640163,139.476196
"Atractocarpus fitzalanii","Queensland",-17.756797,145.559441
"Eragrostis speciosa","Queensland",-17.956817,141.859486
"Lepyrodia imitans","Queensland",-25.073414,152.259392
"Brachiaria foliosa","Queensland",-27.390069,153.126061
"Alphitonia whitei","Queensland",-13.673489,143.342786
"Solanum hamulosum","Queensland",-17.423465,145.759437
"Cordyline cannifolia","Queensland",-18.273458,146.242772
"Casearia grewiifolia","Queensland",-17.340129,146.00943
"Adiantum hispidulum","Queensland",-16.840133,145.676101
"Corymbia terminalis","Queensland",-20.590134,144.426146
"Cyperus pumilus","Queensland",-20.090116,146.926111
"Flindersia brassii","Queensland",-12.756827,143.226116
"Diploblechnum neglectum","Queensland",-16.440137,145.259439
"Terminalia aridicola","Queensland",-20.506801,144.426146
"Trentepohlia arborum","Queensland",-28.058333,152.391667
"Polyosma rigidiuscula","Queensland",-16.458333,145.208333
"Eucalyptus shirleyi","Queensland",-17.408333,144.908333
"Linospadix microcaryus","Queensland",-16.136389,145.441944
"Ryticaryum longifolium","Queensland",-12.740161,143.242783
"Sloanea australis","Queensland",-17.756797,145.559441
"Baloskion tetraphyllum","Queensland",-26.79007,153.142724
"Daphnandra repandula","Queensland",-17.523463,145.559441
"Sarcopetalum harveyanum","Queensland",-18.273458,146.242772
"Eucalyptus leptophleba","Queensland",-17.506799,145.009447
"Trentepohlia arborum","Queensland",-17.356798,145.942771
"Acacia hylonoma","Queensland",-16.973467,145.892768
"Acacia racospermoides","Queensland",-15.090139,145.259436
"Pimelea trichostachya","Queensland",-28.056761,149.459468
"Ochrosia poweri","Queensland",-17.498889,145.473056
"Tarenna dallachiana","Queensland",-16.02347,145.342773
"Tacca leontopetaloides","Queensland",-18.273458,146.242772
"Pittosporum revolutum","Queensland",-25.125,152.575
"Melaleuca quinquenervia","Queensland",-27.390069,153.126061
"Acronychia parviflora","Queensland",-16.456804,145.109439
"Acacia cincinnata","Queensland",-16.056804,145.309439
"Eucalyptus tereticornis","Queensland",-28.140074,152.35942
"Eucalyptus leptophleba","Queensland",-16.673469,145.259442
"Cryptocarya vulgaris","Queensland",-19.006789,146.176111
"Zygogynum queenslandianum","Queensland",-15.823472,145.29277
"Symplocos wooroonooran","Queensland",-16.458333,145.208333
"Syzygium forte","Queensland",-12.756827,143.25945
"Storckiella australiensis","Queensland",-16.17347,145.426106
