"SP","Y","elevation"
"Leptospermum laevigatum",2009,77.2307692307692
"Leptospermum laevigatum",2010,148.5
"Leptospermum laevigatum",2011,2
"Leptospermum laevigatum",2014,8
"Leptospermum laevigatum",2015,223.5
"Leptospermum laevigatum",2016,10
"Maireana sclerolaenoides",1978,100
"Maireana sclerolaenoides",1985,40
"Maireana sclerolaenoides",1986,56.52
"Maireana sclerolaenoides",1988,38.6666666666667
"Maireana sclerolaenoides",1990,265
"Maireana sclerolaenoides",1993,47.5
"Maireana sclerolaenoides",1994,60
"Maireana sclerolaenoides",1995,75
"Maireana sclerolaenoides",1996,60
"Maireana sclerolaenoides",1999,52.2777777777778
"Maireana sclerolaenoides",2000,79.8333333333333
"Maireana sclerolaenoides",2001,35.875
"Maireana sclerolaenoides",2002,73.85
"Maireana sclerolaenoides",2006,68
"Maireana sclerolaenoides",2016,110
"Maireana sclerolaenoides",2017,280
"Melaleuca armillaris",1973,22.5
"Melaleuca armillaris",1979,24.5454545454545
"Melaleuca armillaris",1980,200
"Melaleuca armillaris",1983,36.6666666666667
"Melaleuca armillaris",1984,285
"Melaleuca armillaris",1985,85
"Melaleuca armillaris",1986,50
"Melaleuca armillaris",1987,280
"Melaleuca armillaris",1988,165.8
"Melaleuca armillaris",1989,92.75
"Melaleuca armillaris",1990,10
"Melaleuca armillaris",1991,33.1785714285714
"Melaleuca armillaris",1992,64.4444444444444
"Melaleuca armillaris",1993,60
"Melaleuca armillaris",1995,23.3333333333333
"Melaleuca armillaris",1996,71.6
"Melaleuca armillaris",1997,96.6666666666667
"Melaleuca armillaris",1998,95
"Melaleuca armillaris",1999,332.058823529412
"Melaleuca armillaris",2000,93
"Melaleuca armillaris",2001,27.5
"Melaleuca armillaris",2002,17.75
"Melaleuca armillaris",2003,0
"Melaleuca armillaris",2004,5
"Melaleuca armillaris",2005,262.5
"Melaleuca armillaris",2006,94.7777777777778
"Melaleuca armillaris",2007,54.3636363636364
"Melaleuca armillaris",2008,46.5
"Melaleuca armillaris",2009,20
"Melaleuca armillaris",2010,15
"Melaleuca armillaris",2011,220
"Melaleuca armillaris",2012,484.75
"Melaleuca armillaris",2013,142.6875
"Melaleuca armillaris",2014,274.608695652174
"Melaleuca armillaris",2015,222.321428571429
"Melaleuca armillaris",2017,309.631578947368
"Melaleuca armillaris",2020,760
"Melaleuca ericifolia",1972,60
"Melaleuca ericifolia",1973,26.1836734693878
"Melaleuca ericifolia",1974,24.8055555555556
"Melaleuca ericifolia",1975,63.3333333333333
"Melaleuca ericifolia",1976,71
"Melaleuca ericifolia",1977,26.1904761904762
"Melaleuca ericifolia",1978,23
"Melaleuca ericifolia",1979,29.375
"Melaleuca ericifolia",1980,18.741935483871
"Melaleuca ericifolia",1981,38.0806451612903
"Melaleuca ericifolia",1982,87.2307692307692
"Melaleuca ericifolia",1983,0
"Melaleuca ericifolia",1984,70
"Melaleuca ericifolia",1985,94.6296296296296
